cle,nbmaisons,nbpers_au_foyer,type_client,catholique,protestant,autre_religion,sans_religion,marie,concubin,autre_relation,celibataire,sans_enfant,avec_enfant,niv_etude_haut,niv_etud_moy,niv_etud_bas,PCStop,PCScadre,PCSagri,PCSinter,PCSouvr_quali,PCSouvr,locataire,proprietaire,auto1,auto2,auto0,assur_sante_public,assur_sante_prive,revenu1,revenu2,revenu3,revenu4,revenu5,revenu_moyen,pouvoir_achat
713,2,4,8,0,5,1,4,8,1,0,0,1,8,0,4,5,0,0,0,5,2,2,2,7,5,4,0,9,0,1,7,2,1,0,4,3
714,1,3,9,0,3,1,5,8,0,1,1,1,7,2,3,5,2,0,0,2,3,3,9,0,7,0,2,9,0,4,5,0,0,0,3,4
715,1,2,7,0,6,0,3,3,0,6,3,4,3,0,3,6,2,0,0,2,4,4,9,0,5,0,4,5,4,5,3,1,0,0,2,1
716,1,3,1,2,2,2,5,7,1,2,2,4,4,5,3,2,8,1,0,0,0,0,0,9,3,5,2,2,7,0,2,5,2,1,6,8
717,1,3,8,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,3,6,5,2,3,7,2,5,4,0,0,0,2,3
718,1,3,3,1,7,0,2,7,0,2,1,3,6,3,5,1,6,0,0,2,0,1,4,5,7,2,1,5,4,1,1,8,0,0,5,6
719,1,3,8,0,7,0,2,5,1,4,4,1,5,0,2,7,0,0,0,1,2,6,6,3,6,1,2,8,1,2,6,0,1,0,3,3
720,1,2,8,0,7,0,2,6,0,3,2,5,3,2,2,5,2,0,0,3,3,2,5,4,6,0,3,7,2,3,2,5,0,0,4,3
721,2,2,9,0,6,1,3,5,1,3,2,2,5,0,2,7,0,0,1,2,3,5,6,3,5,2,3,8,1,8,1,1,0,0,2,5
722,1,2,7,1,5,1,2,6,2,2,1,7,2,1,4,5,1,0,0,4,3,3,1,8,8,0,1,6,3,1,5,4,0,0,4,3
723,1,2,7,4,2,0,3,4,1,4,3,4,3,2,3,5,1,1,1,2,1,5,5,4,4,1,5,7,2,6,2,2,0,1,3,1
724,1,2,7,0,3,0,6,5,0,4,1,4,4,0,0,9,0,0,0,0,2,7,8,1,6,0,3,9,0,2,5,3,1,0,4,3
725,1,3,8,4,3,1,2,6,1,2,0,0,9,0,0,9,0,0,0,0,0,9,5,5,7,1,2,6,3,0,5,5,0,0,4,5
726,1,2,8,3,4,0,3,6,0,3,3,2,5,0,5,4,0,0,0,4,5,0,0,9,9,0,0,5,4,2,7,0,0,0,3,3
727,1,4,8,0,5,0,4,8,0,1,0,1,8,0,1,8,0,0,0,1,5,4,9,0,7,2,0,9,0,3,6,1,0,0,3,3
728,1,2,5,1,5,1,4,4,3,2,2,6,1,1,5,4,1,0,0,5,1,4,9,0,7,2,1,8,1,4,3,2,2,0,4,2
729,1,3,2,1,6,2,2,8,0,1,1,2,6,4,3,2,5,1,0,2,2,1,2,7,6,3,1,4,5,1,1,5,3,0,6,7
730,1,2,7,1,3,1,5,5,1,4,3,4,3,0,2,8,0,0,0,1,4,4,8,1,5,0,4,7,2,6,3,1,1,0,3,3
731,1,2,6,2,4,2,3,6,0,3,3,2,4,2,4,3,2,2,1,4,2,1,3,6,6,1,3,5,4,1,5,3,1,0,4,1
732,1,2,1,2,7,0,0,9,0,0,1,6,3,0,6,3,3,0,0,5,0,2,1,8,7,2,0,7,2,1,6,1,0,2,5,6
733,1,4,5,0,5,1,4,8,1,1,1,2,6,1,3,6,0,0,0,5,1,3,7,2,8,1,1,9,0,2,6,2,0,0,3,2
734,1,2,7,0,6,1,3,5,0,4,4,4,2,2,3,5,2,0,0,4,3,2,7,2,6,0,3,9,0,5,2,2,0,0,3,1
735,1,2,7,1,5,1,3,4,1,5,4,2,3,1,3,5,1,0,1,2,3,4,5,4,5,1,3,8,1,5,3,2,0,0,3,1
736,1,2,7,0,5,1,3,6,0,3,3,3,3,0,1,8,0,0,0,4,0,5,9,0,7,0,2,9,0,6,2,1,0,0,2,1
737,1,3,9,0,4,0,5,7,2,0,0,4,5,0,0,9,0,0,0,2,4,4,5,4,8,0,1,8,1,2,4,4,0,0,4,4
738,1,3,7,0,2,3,4,6,0,3,2,0,7,0,3,6,0,0,0,3,3,4,9,0,7,0,2,9,0,2,5,3,0,0,3,1
739,1,3,2,1,5,2,3,7,1,2,0,2,7,4,4,2,5,1,0,3,1,1,1,8,7,0,2,4,5,2,2,4,2,1,5,8
740,1,3,3,0,4,2,4,7,1,2,0,0,9,0,9,0,1,0,0,3,3,3,5,4,7,1,1,8,1,1,6,2,1,0,4,8
741,1,2,6,1,6,1,2,5,1,4,4,3,2,2,5,3,1,0,0,6,1,2,8,1,6,1,3,4,5,5,3,1,2,0,4,1
742,1,3,3,0,3,0,6,9,0,0,0,3,6,5,2,2,2,0,0,5,0,2,0,9,6,0,3,9,0,0,4,5,0,0,4,8
743,1,2,7,0,2,2,5,5,2,3,2,4,4,0,3,6,0,0,0,2,5,3,9,0,7,0,2,7,2,5,4,1,0,0,3,1
744,1,2,8,2,3,2,4,7,2,1,4,4,1,0,5,4,2,0,0,5,2,2,4,5,7,1,1,7,2,4,5,0,0,0,3,4
745,1,2,2,1,5,0,3,7,1,2,3,3,4,0,5,4,3,0,0,0,5,2,0,9,6,2,2,6,3,0,5,3,2,0,5,7
746,1,3,7,0,8,0,1,6,1,2,1,3,5,0,3,6,1,0,0,3,2,4,6,3,5,0,4,7,2,6,3,1,1,0,2,1
747,1,4,8,0,4,1,5,6,2,2,0,4,5,0,4,5,4,0,0,3,3,0,5,4,6,2,2,8,1,0,0,4,5,0,7,6
748,1,4,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6
749,1,2,6,1,5,1,2,6,1,3,5,4,1,1,5,4,3,1,1,2,3,1,6,3,6,0,3,6,3,3,5,2,1,0,3,1
750,1,4,8,0,8,1,0,9,0,0,0,2,7,2,3,4,3,1,0,4,1,1,0,9,7,2,0,6,3,0,6,3,0,0,4,3
751,1,4,8,0,4,0,5,8,0,1,1,0,8,3,4,2,0,0,0,3,5,1,2,7,7,1,1,6,3,2,4,4,0,0,3,3
752,1,2,5,1,6,1,2,4,1,5,5,3,2,3,4,3,4,0,0,3,1,2,4,5,5,0,4,5,4,5,2,3,1,0,3,2
753,1,2,8,0,3,3,4,6,1,2,1,2,7,0,3,6,0,0,0,3,3,4,9,0,7,0,2,7,2,7,2,1,0,0,2,3
754,1,2,5,0,5,1,4,4,3,3,1,5,3,2,4,3,2,1,1,5,2,1,8,1,5,1,4,7,2,4,4,1,1,0,3,3
755,1,2,7,1,4,2,4,6,1,3,0,5,4,0,2,7,0,0,0,0,0,9,5,4,5,1,3,7,2,0,7,0,2,0,4,2
756,1,4,9,0,6,0,3,7,1,2,2,1,6,1,3,5,2,1,0,3,3,2,6,3,5,2,3,7,2,3,5,2,0,0,3,4
757,1,2,5,2,4,2,4,7,1,2,6,0,3,1,8,0,3,0,0,1,1,5,6,3,7,1,2,6,3,4,4,2,0,0,3,3
758,1,2,9,0,5,1,4,4,4,2,2,3,4,2,3,4,2,0,0,3,3,2,7,2,7,0,2,9,0,2,2,5,0,0,4,4
759,1,2,1,0,5,3,2,5,1,4,3,4,3,1,3,6,2,1,1,3,4,2,6,3,6,1,3,7,2,4,3,2,1,0,3,3
760,1,4,7,0,3,0,6,9,0,0,0,5,4,0,1,8,1,0,0,4,1,5,4,5,9,0,0,4,5,1,4,4,1,0,4,1
761,2,3,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,4,6
762,1,2,5,0,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,2
763,1,3,7,0,6,0,3,7,0,2,0,5,4,2,4,4,2,2,0,3,3,2,2,7,7,2,0,2,7,0,5,4,0,0,4,1
764,1,4,9,2,0,2,5,9,0,0,0,3,6,2,4,4,2,0,0,3,5,0,0,9,9,0,0,7,2,0,5,4,0,0,4,5
765,1,2,8,0,5,1,3,7,1,2,3,4,3,0,3,6,0,0,0,2,2,6,5,4,9,0,0,5,4,2,2,3,3,0,5,5
766,1,4,8,1,4,1,4,7,1,2,0,2,7,2,0,7,5,0,0,2,0,3,6,3,6,2,1,5,4,7,2,0,0,0,2,3
767,1,3,1,0,5,1,3,7,1,2,3,2,5,1,3,6,2,1,1,2,3,3,5,4,5,2,2,7,2,4,4,1,1,1,3,6
768,1,3,2,1,6,1,3,9,0,0,0,4,5,6,3,1,6,0,0,2,1,1,0,9,7,2,0,2,7,0,1,5,4,1,7,7
769,1,4,3,0,6,1,3,7,1,2,1,2,7,1,3,6,0,0,0,3,2,4,8,1,7,1,1,9,0,2,3,4,0,0,4,4
770,1,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,4,3
771,1,2,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,3
772,1,3,8,0,6,2,1,6,0,3,2,3,4,1,2,7,1,0,2,2,1,5,1,8,7,0,2,7,2,0,5,4,0,0,4,3
773,1,3,3,1,5,1,3,7,2,1,1,3,5,4,4,2,3,1,1,4,2,1,1,8,6,3,1,5,4,2,4,4,1,0,4,6
774,1,3,9,0,4,0,5,9,0,0,0,2,7,1,2,6,1,0,0,3,3,3,5,4,6,1,2,7,2,1,4,4,1,0,4,4
775,1,3,5,2,3,2,4,3,1,5,4,0,5,0,6,3,0,2,0,3,2,4,6,3,6,0,3,8,1,9,0,0,0,0,2,3
776,1,3,8,0,4,0,5,9,0,0,0,3,6,0,1,8,2,0,0,2,6,0,8,1,9,0,0,7,2,5,3,1,0,0,3,3
777,1,2,8,0,9,0,0,6,0,3,3,3,3,1,6,2,0,3,0,4,0,3,2,7,4,2,3,5,4,3,5,0,2,0,4,3
778,2,2,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6
779,1,4,3,0,6,1,3,9,0,0,0,2,7,3,4,3,5,1,0,2,2,1,0,9,8,1,0,4,5,1,2,6,2,1,6,6
780,1,3,9,1,4,1,4,7,1,2,2,4,3,1,2,6,4,0,0,2,2,1,2,7,6,2,1,5,4,2,5,2,2,0,4,3
781,1,3,8,0,9,0,0,9,0,0,0,6,3,0,6,3,4,0,0,4,0,3,4,6,9,0,0,6,4,3,4,4,0,0,4,5
782,1,3,2,0,6,0,3,9,0,0,0,5,4,0,6,3,0,0,0,4,5,0,4,5,7,2,0,7,2,0,0,9,0,0,5,7
783,1,2,5,2,4,1,3,3,3,4,4,3,2,2,4,4,1,0,0,2,3,4,8,1,6,0,3,8,1,6,3,1,0,1,2,3
784,1,2,3,1,5,3,2,6,0,3,3,4,3,0,2,7,1,0,0,3,3,4,4,5,6,1,2,9,0,1,7,2,0,0,3,6
785,1,3,1,1,4,2,3,7,1,1,1,4,4,4,4,2,6,0,0,2,1,1,0,9,6,3,0,3,6,1,3,4,2,0,5,8
786,1,2,1,1,6,1,2,5,1,3,2,4,3,1,4,4,2,1,0,4,1,3,3,6,6,1,3,7,2,3,4,3,1,0,4,6
787,1,3,3,1,5,1,3,8,1,1,1,3,6,4,4,2,4,1,0,3,1,1,1,8,7,1,1,4,5,1,3,4,2,1,5,6
788,1,2,5,2,4,1,3,3,3,4,4,3,2,2,4,4,1,0,0,2,3,4,8,1,6,0,3,8,1,6,3,1,0,1,2,3
789,1,2,1,0,7,2,0,9,0,0,1,7,2,3,4,2,2,0,0,4,3,1,7,2,7,0,2,7,2,3,3,3,1,0,4,6
790,1,2,8,0,4,2,4,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,7,2,7,0,2,9,0,4,5,0,0,0,3,4
791,1,3,7,0,4,3,3,7,1,2,1,4,4,0,4,5,0,0,0,5,2,3,9,0,8,0,1,7,2,4,4,2,0,0,3,1
792,1,3,9,1,5,1,3,5,1,3,3,2,4,2,3,5,2,1,0,3,2,3,5,4,4,2,4,7,2,3,5,1,1,0,3,4
793,1,2,5,0,6,2,2,4,2,4,4,3,2,2,5,2,2,0,0,3,3,3,8,1,4,3,3,7,2,3,4,2,0,0,3,3
794,1,2,5,6,1,0,2,5,2,3,4,3,3,4,3,3,3,0,0,6,0,0,3,6,5,1,4,6,3,4,2,0,2,2,6,2
795,1,2,7,0,6,0,3,4,0,5,3,4,3,0,4,5,2,0,0,2,4,3,9,0,5,0,4,5,4,6,2,1,0,0,2,1
796,1,1,8,2,5,1,2,7,0,2,5,4,0,0,6,3,5,0,0,5,0,0,9,0,7,2,1,5,4,6,3,0,0,0,3,3
797,1,3,8,1,6,2,2,7,1,2,0,3,6,0,0,9,2,0,0,3,3,2,3,6,7,1,2,7,2,0,4,0,5,0,6,3
798,1,3,2,0,8,0,1,7,0,2,0,1,8,0,7,2,5,0,0,3,2,1,2,7,6,3,0,2,7,2,3,3,2,0,5,7
799,10,2,4,1,1,1,7,2,2,6,6,2,2,5,2,2,3,1,0,3,1,2,6,3,4,0,5,4,5,4,1,4,2,0,4,4
800,1,2,1,0,2,0,7,6,0,3,5,3,2,3,4,2,7,0,0,0,2,0,0,9,9,0,0,2,7,2,2,5,0,0,4,8
801,1,3,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,7
802,1,4,9,0,2,3,5,6,0,3,2,0,7,0,6,3,0,0,0,7,0,2,4,5,9,0,0,7,2,0,7,0,2,0,4,4
803,1,2,9,0,5,4,0,0,0,9,7,0,2,0,0,9,0,0,0,0,6,3,7,2,7,1,2,7,2,7,2,0,0,0,1,5
804,1,3,3,0,2,4,4,7,0,2,4,0,5,4,0,5,2,0,0,4,1,3,9,0,7,0,2,6,3,6,0,3,0,0,3,8
805,1,4,2,1,5,1,3,7,1,2,0,3,6,3,5,1,3,1,0,4,1,2,1,8,7,0,2,5,4,1,3,5,1,1,5,7
806,2,4,3,2,4,2,2,9,0,0,0,0,8,2,4,4,2,0,0,7,1,0,2,7,9,0,0,9,0,0,0,4,5,0,8,7
807,1,2,7,0,9,0,0,4,0,5,5,1,4,0,4,5,0,0,0,2,2,6,3,6,5,1,3,6,3,5,2,3,0,0,2,2
808,2,2,7,0,3,3,4,5,1,4,2,5,2,1,4,5,2,1,0,1,5,2,3,6,7,1,2,7,2,5,3,1,1,0,3,1
809,1,3,7,0,6,0,4,6,0,3,0,1,8,0,4,5,0,0,0,4,2,4,9,0,6,3,0,9,0,2,7,2,0,0,3,1
810,1,3,3,2,0,0,7,4,1,4,0,3,6,3,3,4,3,0,0,3,1,3,8,1,7,0,2,6,3,5,2,2,0,0,3,4
811,1,2,1,0,5,2,2,9,0,0,5,2,3,5,1,3,7,0,0,2,0,0,0,9,6,3,0,5,4,0,1,4,5,0,6,8
812,1,2,1,1,5,4,0,9,0,0,1,6,3,4,3,2,6,0,0,2,2,0,0,9,5,4,0,0,9,0,0,8,1,0,5,6
813,1,4,10,2,5,0,3,8,1,1,1,3,6,2,4,4,2,0,7,0,1,1,1,8,4,5,1,1,8,2,0,7,1,0,6,3
814,1,2,8,0,3,2,4,5,2,3,3,4,3,0,4,5,0,0,0,5,4,0,7,2,9,0,0,9,0,3,6,0,0,0,3,3
815,1,3,2,0,4,1,4,6,1,3,3,1,6,4,2,4,3,0,0,5,2,1,1,8,7,0,2,8,1,1,6,3,0,0,4,7
816,1,3,2,1,7,0,1,6,0,3,2,4,4,4,3,2,3,0,0,5,1,1,0,9,6,3,2,5,4,1,4,4,1,0,5,7
817,1,2,8,1,4,1,4,7,1,2,4,4,2,0,6,3,0,0,0,9,0,0,9,0,6,2,1,5,4,6,0,3,0,0,3,4
818,1,2,1,0,5,0,4,5,0,4,3,4,3,2,5,3,4,2,0,2,0,3,4,5,7,0,2,7,2,0,4,5,0,0,5,6
819,1,4,8,1,4,1,4,6,0,3,2,2,5,0,0,9,2,1,1,3,3,2,3,6,6,1,2,6,3,0,9,0,0,0,4,5
820,1,3,3,0,6,0,3,7,0,2,2,2,6,3,4,2,4,0,3,2,0,0,0,9,6,3,0,4,5,0,3,3,3,0,5,8
821,1,3,8,0,2,2,6,6,0,3,1,5,4,0,4,5,3,0,0,1,5,1,2,7,5,0,4,9,0,0,0,9,0,0,6,4
822,1,2,9,0,3,3,4,5,0,4,4,1,5,0,0,9,0,0,0,4,0,5,9,0,6,0,3,9,0,1,6,3,0,0,4,4
823,1,4,9,1,4,1,4,7,1,2,0,2,7,2,0,7,5,0,0,2,0,3,6,3,6,2,1,5,4,7,2,0,0,0,2,3
824,1,2,9,0,5,2,3,5,2,3,4,2,3,2,4,3,2,0,0,4,2,2,7,2,5,1,3,9,0,6,3,1,0,0,2,4
825,1,2,7,0,2,0,7,9,0,0,0,6,3,0,0,9,0,0,0,2,4,4,9,0,7,2,0,9,0,5,4,0,0,0,3,1
826,1,3,1,1,4,0,5,6,0,3,3,2,5,3,2,4,6,2,0,1,1,0,3,6,6,2,1,3,6,3,1,4,1,2,6,6
827,1,3,8,0,6,1,3,8,1,1,1,3,6,0,3,6,0,0,2,3,4,1,2,7,7,1,2,6,3,2,2,6,0,0,4,4
828,1,2,1,0,6,1,3,5,0,4,3,3,4,1,3,5,1,0,1,6,1,3,2,7,7,0,2,7,2,0,5,4,0,0,4,6
829,1,4,9,0,6,0,3,7,0,2,2,2,6,0,3,6,0,0,0,2,8,0,2,7,9,0,0,9,0,5,0,4,0,0,4,3
830,1,4,8,0,6,0,3,5,0,4,1,1,8,2,2,6,0,0,1,2,6,1,1,8,8,1,1,8,1,3,3,3,0,0,3,3
831,1,2,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,3
832,2,5,9,0,6,0,3,9,0,0,0,3,6,0,4,5,0,0,0,3,6,0,3,6,9,0,0,9,0,6,0,3,0,0,3,5
833,1,3,9,1,4,1,4,7,1,2,2,4,4,2,4,4,3,1,2,2,2,1,4,5,6,2,1,5,4,3,3,3,2,1,4,5
834,1,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,9,0,9,0,0,9,0,4,5,0,0,0,3,4
835,2,4,3,0,2,0,7,9,0,0,0,0,9,0,3,6,0,0,0,7,0,2,0,9,9,0,0,9,0,2,0,5,2,0,5,7
836,1,3,8,0,3,0,6,9,0,0,2,2,5,0,4,5,0,0,0,3,6,0,9,0,5,0,4,6,3,5,4,0,0,0,2,3
837,1,3,9,0,4,0,5,7,2,0,0,4,5,0,0,9,0,0,0,2,4,4,5,4,8,0,1,8,1,2,4,4,0,0,4,4
838,1,2,1,1,5,1,3,6,1,2,0,5,4,4,0,5,2,1,1,2,3,2,0,9,6,1,3,7,2,3,4,2,1,0,3,6
839,1,3,10,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,4,4
840,1,2,8,0,5,0,4,5,1,4,4,2,4,1,3,5,0,0,1,5,2,2,6,3,4,2,4,8,1,5,3,2,0,0,3,3
841,1,1,6,0,5,0,4,3,1,5,7,2,0,1,4,5,4,0,0,4,1,2,9,0,7,0,2,9,0,2,7,1,0,0,3,1
842,1,3,2,1,4,2,3,7,1,2,1,3,6,2,4,3,3,1,0,4,2,1,2,7,7,1,1,5,4,1,3,5,1,0,5,7
843,1,3,3,2,3,0,5,5,2,3,0,2,7,1,7,2,2,0,0,4,0,4,4,5,7,2,0,6,3,4,5,1,0,0,3,7
844,1,2,5,0,4,2,4,0,5,4,2,5,3,0,4,5,0,0,0,2,4,4,9,0,7,0,2,9,0,4,2,3,0,0,3,2
845,1,3,1,0,6,2,2,9,0,0,0,4,5,3,6,0,4,0,0,4,2,0,0,9,6,3,0,3,6,0,6,3,0,0,4,8
846,1,3,5,1,4,1,5,6,1,2,1,2,6,1,2,7,1,0,0,4,4,1,8,1,7,1,2,8,1,3,5,2,1,1,3,2
847,1,3,2,1,6,1,3,9,0,0,0,4,5,6,3,1,6,0,0,2,1,1,0,9,7,2,0,2,7,0,1,5,4,1,7,7
848,1,3,8,0,7,2,0,7,0,2,0,3,6,0,2,7,0,0,0,8,0,1,5,4,5,2,2,7,2,0,5,3,1,0,4,4
849,1,3,9,0,5,1,4,7,1,2,1,4,5,0,2,7,1,0,0,6,2,2,8,1,6,1,2,9,0,3,3,3,0,0,3,4
850,1,3,8,0,1,3,5,7,0,2,1,1,8,0,1,8,1,1,0,1,6,3,9,0,5,2,3,7,2,1,6,3,0,0,4,3
851,1,2,5,1,5,0,4,3,4,3,4,4,2,2,3,5,1,0,0,6,1,2,6,3,5,0,4,6,3,4,2,3,2,0,4,3
852,1,2,9,0,5,1,4,4,4,2,2,3,4,2,3,4,2,0,0,3,3,2,7,2,7,0,2,9,0,2,2,5,0,0,4,4
853,1,4,7,2,4,0,4,7,0,2,0,2,7,1,1,8,1,0,0,1,2,6,1,8,5,2,2,7,2,0,8,1,0,0,3,3
854,1,3,9,0,3,0,6,7,0,2,0,4,5,0,0,9,0,0,0,0,5,4,5,4,5,3,3,9,0,4,5,0,0,0,2,3
855,1,2,4,0,5,3,2,5,1,4,4,4,2,1,4,5,2,1,1,3,1,4,4,5,6,1,2,7,2,4,2,3,1,0,3,5
856,1,1,3,0,5,1,4,4,3,2,6,3,1,4,5,1,2,0,0,4,3,2,8,1,8,0,1,9,0,3,5,2,0,0,3,6
857,1,3,2,1,7,0,1,6,0,3,2,4,4,4,3,2,3,0,0,5,1,1,0,9,6,3,2,5,4,1,4,4,1,0,5,7
858,1,3,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,4,6
859,1,3,5,2,3,2,4,3,1,5,4,0,5,0,6,3,0,2,0,3,2,4,6,3,6,0,3,8,1,9,0,0,0,0,2,3
860,1,3,3,0,5,0,4,6,0,3,1,2,7,3,2,4,1,0,1,4,1,4,0,9,6,3,0,4,5,0,4,2,4,1,6,6
861,1,4,8,0,4,1,5,6,2,2,0,4,5,0,4,5,4,0,0,3,3,0,5,4,6,2,2,8,1,0,0,4,5,0,7,6
862,1,2,5,0,6,1,3,3,0,6,6,1,3,2,2,5,2,0,0,4,3,1,8,1,5,0,4,9,0,5,2,2,0,0,3,2
863,1,3,2,1,1,3,6,8,0,1,1,2,6,2,3,4,2,0,0,3,4,1,5,4,7,2,0,7,2,1,2,5,2,0,5,8
864,1,4,3,5,3,1,1,8,1,1,1,1,8,1,5,3,1,0,0,5,3,1,1,8,9,0,0,5,4,3,2,4,0,0,4,8
865,2,1,5,0,2,4,4,2,2,5,5,4,0,0,7,2,0,0,0,7,0,2,9,0,7,0,2,9,0,4,4,2,0,0,3,3
866,1,2,1,0,5,0,5,9,0,0,0,9,0,0,9,0,0,5,0,0,0,5,6,3,7,2,0,3,6,2,4,4,1,0,5,6
867,1,3,2,2,4,1,4,6,1,3,1,4,5,2,5,2,2,2,0,3,1,3,6,3,7,1,2,6,3,3,4,3,0,0,3,7
868,1,1,5,0,5,2,2,1,4,5,5,4,1,1,6,2,1,0,0,6,1,3,9,0,3,2,4,6,3,3,4,3,0,0,3,2
869,1,2,1,1,5,2,3,5,1,4,2,6,2,2,3,4,4,1,0,2,4,1,2,7,5,1,3,5,4,1,2,4,3,1,6,6
870,1,2,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,3
871,1,2,2,1,3,1,5,6,1,2,3,5,2,0,0,9,0,0,0,2,3,5,9,0,6,2,2,7,2,9,0,0,0,0,2,8
872,1,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,5,4,6,1,2,7,2,2,4,3,1,0,4,3
873,1,2,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,3
874,1,2,7,2,6,0,1,6,2,2,2,5,3,1,2,6,3,1,1,2,2,3,6,3,7,0,2,6,3,5,2,1,1,1,4,1
875,1,3,8,1,4,1,4,7,1,2,4,4,2,0,4,5,0,0,0,9,0,0,7,2,6,2,1,5,4,5,4,0,0,0,3,3
876,2,3,2,2,4,1,3,6,1,2,2,3,4,3,4,3,3,1,0,4,1,2,3,6,6,2,2,6,3,2,3,4,2,1,5,8
877,1,2,2,0,3,0,6,5,0,4,4,4,2,2,5,3,3,0,1,3,1,3,2,7,4,3,3,3,6,3,1,2,4,0,6,8
878,1,4,9,1,4,1,4,6,0,3,0,1,8,0,3,6,3,0,1,0,0,6,0,9,6,1,2,6,3,0,4,5,0,0,5,4
879,1,2,2,1,4,2,4,5,2,3,0,6,3,6,3,0,0,0,0,6,3,0,0,9,6,1,2,7,2,0,0,9,0,0,4,7
880,1,2,9,0,2,4,4,7,0,2,0,7,2,4,1,4,1,0,0,4,1,5,5,4,7,0,2,6,3,1,4,2,4,0,6,5
881,1,3,7,1,5,2,3,5,1,3,0,4,5,0,1,8,0,0,1,3,0,6,8,1,6,1,3,7,2,3,6,0,0,0,3,2
882,1,4,9,0,4,0,5,8,0,1,1,1,8,1,4,5,1,0,0,2,0,7,8,1,5,4,1,8,1,5,4,0,0,0,2,4
883,1,2,9,1,5,1,3,5,1,3,2,3,4,2,3,5,2,1,1,3,1,3,4,5,6,2,2,6,3,3,4,2,1,0,4,4
884,1,3,9,0,7,0,2,3,1,6,4,2,4,0,1,8,1,0,0,1,3,5,8,1,3,0,6,8,1,6,2,2,1,0,2,4
885,1,2,8,0,7,0,2,7,0,2,0,7,2,0,2,7,0,1,0,4,4,1,3,6,8,1,0,7,2,0,5,4,0,0,4,3
886,1,3,3,1,5,2,1,6,1,3,2,3,5,1,3,5,1,0,0,3,3,3,8,1,5,1,3,6,3,5,2,2,1,0,3,4
887,2,2,6,1,5,3,1,7,0,2,2,6,1,2,4,4,2,1,2,2,0,3,8,1,8,0,1,7,2,2,7,1,0,0,3,1
888,1,3,1,1,6,1,2,6,1,2,2,3,4,1,3,5,2,1,1,4,2,2,2,7,5,2,3,5,4,2,4,3,1,1,4,6
889,1,3,1,0,7,0,2,9,0,0,0,5,4,0,2,7,1,0,2,1,5,2,5,4,8,1,0,8,1,4,3,2,0,0,3,6
890,1,3,7,1,6,1,2,6,1,2,2,3,4,1,3,5,2,1,1,4,2,2,2,7,5,2,3,5,4,2,4,3,1,1,4,1
891,1,3,8,0,5,1,3,6,2,1,0,3,6,0,6,3,3,0,5,2,0,0,0,9,6,1,2,6,3,0,7,0,2,0,5,3
892,1,2,9,2,4,2,3,5,2,3,2,4,3,1,3,5,1,1,0,3,3,2,6,3,7,1,2,7,2,3,4,3,1,0,3,5
893,1,3,8,2,5,0,3,9,0,0,1,3,5,4,5,0,9,0,0,0,0,0,0,9,7,2,0,2,7,0,0,5,0,4,0,3
894,1,2,8,0,5,2,2,6,1,2,2,3,4,3,1,6,2,0,0,3,3,2,2,7,7,0,2,8,1,2,5,2,0,0,3,5
895,1,3,8,0,9,0,0,9,0,0,0,3,6,0,4,5,2,0,0,2,5,0,0,9,7,2,0,4,5,0,5,4,0,0,4,3
896,1,3,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8
897,1,3,1,3,5,0,2,9,0,0,0,1,8,5,4,0,4,1,0,2,1,2,0,9,3,6,0,2,7,0,1,4,2,2,7,8
898,1,3,7,0,5,1,3,7,1,2,3,2,5,1,3,6,2,1,1,2,3,3,5,4,5,2,2,7,2,4,4,1,1,1,3,1
